station_id,num_bikes_available,numBikesAvailable,num_bikes_available_types/0/mechanical,num_bikes_available_types/1/ebike,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,stationCode,station_opening_hours
213688169,23,23,4,19,12,12,1,1,1,1776082176,16107,
19179944124,9,9,3,6,19,19,1,1,1,1776081982,40001,
18795078746,10,10,8,2,18,18,1,1,1,1776082068,32304,
36255,3,3,1,2,17,17,1,1,1,1776082000,9020,
251039991,14,14,3,11,11,11,1,1,1,1776082194,14111,
85002689,12,12,11,1,48,48,1,1,1,1776082094,14014,
2515829865,20,20,9,11,1,1,1,1,1,1776082155,32017,
516709288,3,3,0,3,15,15,1,1,1,1776082155,11104,
120827885,10,10,0,10,2,2,1,1,1,1776082070,8026,
37874517,17,17,14,3,4,4,1,1,1,1776082189,6003,
210565680,11,11,8,3,23,23,1,1,1,1776082122,7002,
210403080,12,12,4,8,11,11,1,1,1,1776082143,5110,
210561800,2,2,1,1,15,15,1,1,1,1776082029,6108,
209063434,8,8,0,8,23,23,1,1,1,1776081987,33006,
94555589,1,1,0,1,25,25,1,1,1,1776082149,42016,
501862076,4,4,2,2,18,18,1,1,1,1776082029,25006,
17486274358,4,4,0,4,36,36,1,1,1,1776081853,30002,
19331959862,9,9,7,2,18,18,1,1,1,1776081644,40011,
210566542,55,55,25,30,5,5,1,1,1,1776082074,7003,
85043758,9,9,5,4,24,24,1,1,1,1776082184,17041,
82405965,5,5,2,3,34,34,1,1,1,1776082153,11025,
213682736,1,1,1,0,51,51,1,1,1,1776081602,15047,
54000559,17,17,9,8,23,23,1,1,1,1776082112,17026,
37815204,2,2,2,0,27,27,1,1,1,1776081779,12109,
210405211,18,18,17,1,1,1,1,1,1,1776081768,6021,
16560752067,7,7,3,4,22,22,1,1,1,1776081625,15202,
66491398,2,2,1,1,45,45,1,1,1,1776082171,13007,
20364431108,10,10,8,2,24,24,1,1,1,1776082173,42208,
210397939,12,12,4,8,3,3,1,1,1,1776081733,5016,
43195240,21,21,17,4,4,4,1,1,1,1776082095,21010,
54000581,8,8,3,5,26,26,1,1,1,1776081993,13101,
13105968,0,0,0,0,21,21,1,1,1,1776082106,14108,
653208733,1,1,0,1,36,36,1,1,1,1776081664,31024,
78348185,8,8,4,4,41,41,1,1,1,1776082131,21108,
54000536,13,13,5,8,22,22,1,1,1,1776082164,2022,
129094535,3,3,2,1,37,37,1,1,1,1776081858,17044,
54000612,7,7,2,5,36,36,1,1,1,1776082160,19033,
80101533,7,7,4,3,27,27,1,1,1,1776082107,17025,
17486876370,0,0,0,0,20,20,1,1,1,1776082174,21326,
599135701,3,3,2,1,41,41,1,1,1,1776081768,20143,
102747146,21,21,15,6,5,5,1,1,1,1776082162,43002,
2515403527,9,9,5,4,20,20,1,1,1,1776081963,16138,
653132534,3,3,1,2,22,22,1,1,1,1776081930,21216,
506455295,8,8,1,7,8,8,1,1,1,1776082191,15068,
1057149522,1,1,0,1,20,20,1,1,1,1776082196,22207,
653197324,13,13,4,9,9,9,1,1,1,1776081720,92002,
49474389,37,37,12,25,0,0,1,1,1,1776082054,8103,
14813797734,22,22,6,16,6,6,1,1,1,1776081908,31028,
88230992,3,3,2,1,27,27,1,1,1,1776081967,17048,
499303158,4,4,4,0,25,25,1,1,1,1776082118,44017,
1057387136,14,14,13,1,15,15,1,1,1,1776082158,44010,
27415302,1,1,0,1,24,24,1,1,1,1776082092,16118,
27414512,37,37,10,27,3,3,1,1,1,1776082134,2017,
210580039,1,1,1,0,16,16,1,1,1,1776081872,9008,
128940135,18,18,5,13,3,3,1,1,1,1776082109,8048,
35149611,15,15,13,2,12,12,1,1,1,1776082065,14013,
1057296253,51,51,42,9,8,8,1,1,1,1776082178,13118,
576188379,2,2,1,1,22,22,1,1,1,1776082000,15112,
2515085147,6,6,2,4,15,15,1,1,1,1776081789,13030,
19331981332,17,17,3,14,5,5,1,1,1,1776081989,40016,
129107656,0,0,0,0,25,25,1,1,1,1776082125,18111,
210574471,0,0,0,0,12,12,1,1,1,1776082170,9002,
1057228658,0,0,0,0,22,22,1,1,1,1776081882,48003,
230873471,12,12,4,8,9,9,1,1,1,1776082038,16110,
17278902806,3,3,0,3,17,17,1,1,1,1776082145,44015,
129164969,2,2,1,1,46,46,1,1,1,1776081860,43009,
129004826,4,4,1,3,13,13,1,1,1,1776082079,9001,
518825709,15,15,5,10,6,6,1,1,1,1776082030,17032,
